MODELO	MARCAS	RECARGO	DESC. FIJO
GLA250	MERCEDES BENZ	25%	59%
GLK-250	MERCEDES BENZ	25%	59%
GLK280	MERCEDES BENZ	25%	59%
GLK300	MERCEDES BENZ	25%	59%
GL-350	MERCEDES BENZ	25%	59%
GL450	MERCEDES BENZ	25%	59%
GL-500	MERCEDES BENZ	25%	59%
GL-500 AM	MERCEDES BENZ	25%	59%
G500	MERCEDES BENZ	25%	59%
G-55	MERCEDES BENZ	25%	59%
MARCO POLO	MERCEDES BENZ	25%	59%
MB1017	MERCEDES BENZ	25%	59%
MCLAREN	MERCEDES BENZ	25%	59%
MCLAREN	MERCEDES BENZ	25%	59%
ML 300 4M	MERCEDES BENZ	25%	59%
ML 63 AMG	MERCEDES BENZ	25%	59%
ML230	MERCEDES BENZ	25%	59%
ML250	MERCEDES BENZ	25%	59%
ML250 CDI	MERCEDES BENZ	25%	59%
ML280	MERCEDES BENZ	25%	59%
ML-300	MERCEDES BENZ	25%	59%
ML300	MERCEDES BENZ	25%	59%
ML320	MERCEDES BENZ	25%	59%
ML-350	MERCEDES BENZ	25%	59%
ML350	MERCEDES BENZ	25%	59%
ML350 CDI	MERCEDES BENZ	25%	59%
ML-63	MERCEDES BENZ	25%	59%
SKL 350	MERCEDES BENZ	25%	59%
SL 55 AMG	MERCEDES BENZ	25%	59%
SLK	MERCEDES BENZ	25%	59%
SLK 230	MERCEDES BENZ	25%	59%
SLK 350 ROADSTE	MERCEDES BENZ	25%	59%
SLK280 ROADSTER	MERCEDES BENZ	25%	59%
SL350	MERCEDES BENZ	25%	59%
SL500	MERCEDES BENZ	25%	59%
SP COMBI 313	MERCEDES BENZ	25%	59%
SPRINTER	MERCEDES BENZ	25%	59%
S280	MERCEDES BENZ	25%	59%
S320	MERCEDES BENZ	25%	59%
S400	MERCEDES BENZ	25%	59%
S420	MERCEDES BENZ	25%	59%
S500	MERCEDES BENZ	25%	59%
S-500 MAYBEACH	MERCEDES BENZ	25%	59%
S550	MERCEDES BENZ	25%	59%
S-600	MERCEDES BENZ	25%	59%
S-63 AMG	MERCEDES BENZ	25%	59%
VIANO	MERCEDES BENZ	25%	59%
VITO	MERCEDES BENZ	25%	59%
X-5	MERCEDES BENZ	25%	59%
1418R8	MERCEDES BENZ	25%	59%
190	MERCEDES BENZ	25%	59%
230E	MERCEDES BENZ	25%	59%
240D	MERCEDES BENZ	25%	59%
240E	MERCEDES BENZ	25%	59%
260E	MERCEDES BENZ	25%	59%
280SEL	MERCEDES BENZ	25%	59%
300	MERCEDES BENZ	25%	59%
300D	MERCEDES BENZ	25%	59%
300E	MERCEDES BENZ	25%	59%
300SD	MERCEDES BENZ	25%	59%
300SE	MERCEDES BENZ	25%	59%
300SEL	MERCEDES BENZ	25%	59%
300TE	MERCEDES BENZ	25%	59%
313EL	MERCEDES BENZ	25%	59%
320ML	MERCEDES BENZ	25%	59%
330D	MERCEDES BENZ	25%	59%
380SL	MERCEDES BENZ	25%	59%
420SEL	MERCEDES BENZ	25%	59%
500S	MERCEDES BENZ	25%	59%
500SEC	MERCEDES BENZ	25%	59%
500SEL	MERCEDES BENZ	25%	59%
500SEV	MERCEDES BENZ	25%	59%
508D	MERCEDES BENZ	25%	59%
560SEL	MERCEDES BENZ	25%	59%
600	MERCEDES BENZ	25%	59%
709/42.5	MERCEDES BENZ	25%	59%
COUGAR	MERCURY	25%	59%
GRAND MARQUIS	MERCURY	25%	59%
MONTEGO	MERCURY	25%	59%
MONTERREY	MERCURY	25%	59%
MYSTIQUE	MERCURY	25%	59%
SABLE	MERCURY	25%	59%
TOPAZ	MERCURY	25%	59%
TRACER	MERCURY	25%	59%
ZEPHYR	MERCURY	25%	59%
MESA	MESA	25%	59%
MG 3	MG	25%	59%
MG 350	MG	25%	59%
MG 5	MG	25%	59%
MG3 1.5LT AMT D	MG	25%	59%
MG5	MG	25%	59%
TF COUPE	MG	25%	59%
MINI COOPER	MINI	25%	59%
CABRIO	MINI	25%	59%
CLUBMAN	MINI	25%	59%
COOPER	MINI	25%	59%
COOPER ALL4 COU	MINI	25%	59%
COOPER CABRIO	MINI	25%	59%
COOPER S	MINI	25%	59%
COOPER S ALL4	MINI	25%	59%
COOPER S ALL4 C	MINI	25%	59%
COOPER S COUPE	MINI	25%	59%
COUNTRYMAN	MINI	25%	59%
COUNTRYMAN S AL	MINI	25%	59%
JOHN COOPER	MINI	25%	59%
JOHN COOPER WOR	MINI	25%	59%
ONE COUNTRYMAN	MINI	25%	59%
S	MINI	25%	59%
S CABRIO	MINI	25%	59%
S CLUBMAN	MINI	25%	59%
S COUNTRYMAN	MINI	25%	59%
WORKS CABRIO	MINI	25%	59%
WORKS CLUBMAN	MINI	25%	59%
FIAT	MINI COOPER	25%	59%
MINI COOPER	MINI COOPER	25%	59%
MINI COOPER 5-	MINI COOPER	25%	59%
CAN AM	MINI COOPER	25%	59%
COOPER	MINI COOPER	25%	59%
COOPER COUPE	MINI COOPER	25%	59%
COUNTRYMAN	MINI COOPER	25%	59%
COUNTRYMAN S AL	MINI COOPER	25%	59%
GSXR600X	MINI COOPER	25%	59%
MINIVANS	MINI COOPER	25%	59%
OUTLANDER	MINI COOPER	25%	59%
COOPER S ALL4	MINI COOPER	25%	59%
COOPER S ALL4.	MINI COOPER	25%	59%
MINI COOPER	MINI COOPER	25%	59%
.	MITSUBISHI	25%	59%
BUSES ROSA	MITSUBISHI	25%	59%
ENDEAVOR	MITSUBISHI	25%	59%
FE635CD6L	MITSUBISHI	25%	59%
LANCER EX	MITSUBISHI	25%	30%
LANCER GL 1300	MITSUBISHI	25%	30%
P15VJLNL	MITSUBISHI	25%	59%
ASX	MITSUBISHI	25%	59%
CANTER	MITSUBISHI	25%	59%
CANTER FH215KBL	MITSUBISHI	25%	59%
COLT	MITSUBISHI	25%	59%
CORDIA	MITSUBISHI	25%	59%
ECLIPSE	MITSUBISHI	25%	59%
GALANT	MITSUBISHI	25%	59%
GALANT SUPER	MITSUBISHI	25%	59%
IO	MITSUBISHI	25%	59%
I200	MITSUBISHI	25%	59%
K34T6JGNPUL	MITSUBISHI	25%	59%
L 200	MITSUBISHI	25%	59%
LANCER	MITSUBISHI	25%	30%
LANCER E.	MITSUBISHI	25%	30%
LANCER EX2. 0GL	MITSUBISHI	25%	30%
LANCER G L	MITSUBISHI	25%	30%
LANCER GL	MITSUBISHI	25%	30%
LANCER GLX1	MITSUBISHI	25%	30%
LANCER L200	MITSUBISHI	25%	30%
LANCER 1300 GL	MITSUBISHI	25%	30%
LANCER 1600 GLX	MITSUBISHI	25%	30%
L200	MITSUBISHI	25%	59%
L200 SPORTERO	MITSUBISHI	25%	59%
L-300	MITSUBISHI	25%	59%
L300	MITSUBISHI	25%	59%
MINIBUS	MITSUBISHI	25%	59%
MIRAGE	MITSUBISHI	25%	30%
MIRAGE G4 GLS	MITSUBISHI	25%	30%
MIRAGE HB	MITSUBISHI	25%	30%
MONTERO	MITSUBISHI	25%	59%
MONTERO GLS 2.8	MITSUBISHI	25%	59%
MONTERO SPORT	MITSUBISHI	25%	59%
NATIVA	MITSUBISHI	25%	59%
NATIVA EX	MITSUBISHI	25%	59%
OUTLANDER	MITSUBISHI	25%	59%
OUTLANDER GL4X2	MITSUBISHI	25%	59%
PANEL	MITSUBISHI	25%	59%
PICK UP	MITSUBISHI	25%	59%
P15WHLNL	MITSUBISHI	25%	59%
SPACE RUNNER	MITSUBISHI	25%	59%
SPACE WAGON	MITSUBISHI	25%	59%
SUPER SALOON	MITSUBISHI	25%	59%
SUV PEQ	MITSUBISHI	25%	59%
MONN	MOND	25%	59%
CHASIS	MONN	25%	59%
MONN	MONN	25%	59%
796 MY	MONSTER	25%	59%
MONTA\D1ERA	MONTA\D1ERA	25%	59%
MG 350	MORRIS GARAGES	25%	59%
ATV 125	MOTUS	25%	59%
XY500UEL	MOTUS	25%	59%
1100 CARRIER	MOTUS	25%	59%
BRUTALE 800	MV AGUSTA	25%	59%
GT-R	NISSAN	25%	59%
SENTRA B-15	NISSAN	25%	30%
X-TRAIL	NISSAN	25%	59%
350Z	NISSAN	25%	59%
ALMERA	NISSAN	25%	30%
ALTIMA	NISSAN	25%	59%
ARMADA	NISSAN	25%	59%
ATL	NISSAN	25%	59%
ATLAS	NISSAN	25%	59%
AXXES	NISSAN	25%	59%
BAYALBF	NISSAN	25%	59%
BDTALBA	NISSAN	25%	59%
BLUBIRD	NISSAN	25%	59%
BLUE BIRD	NISSAN	25%	59%
BLUEBIRD	NISSAN	25%	59%
B13	NISSAN	25%	30%
B13 SENTRA	NISSAN	25%	59%
B14	NISSAN	25%	30%
B17	NISSAN	25%	30%
CABSTAR	NISSAN	25%	59%
DATSUN	NISSAN	25%	59%
D21	NISSAN	25%	59%
D22 FRONTIER 4X	NISSAN	25%	59%
EXTERRA	NISSAN	25%	59%
FDRALCZ	NISSAN	25%	59%
FDTALUZ	NISSAN	25%	59%
FRONTERA	NISSAN	25%	59%
FRONTIER	NISSAN	25%	59%
FRONTIER 4X4	NISSAN	25%	59%
GTR	NISSAN	25%	59%
JUKE	NISSAN	25%	59%
JVLWLTN	NISSAN	25%	59%
J10 QASHQAI 2.0	NISSAN	25%	59%
J11	NISSAN	25%	59%
J11 QASHQAI ADV	NISSAN	25%	59%
LAUREL	NISSAN	25%	59%
LB12	NISSAN	25%	59%
MARCH	NISSAN	25%	30%
MAXIMA	NISSAN	25%	59%
MURANO	NISSAN	25%	59%
NAVARA	NISSAN	25%	59%
NAVARA 4X4 D40	NISSAN	25%	59%
NOPE	NISSAN	25%	59%
NOTE	NISSAN	25%	59%
NU41H5	NISSAN	25%	59%
NX	NISSAN	25%	59%
N17 VERSA A/T	NISSAN	25%	59%
PATHFINDER	NISSAN	25%	59%
PATHFINDER R52	NISSAN	25%	59%
PATROL	NISSAN	25%	59%
PICK UP	NISSAN	25%	59%
PICK UP -D21	NISSAN	25%	59%
PLATINA	NISSAN	25%	59%
PRIMERA	NISSAN	25%	59%
QASHQAI	NISSAN	25%	59%
QASHQAI J10	NISSAN	25%	59%
QASHQAI J11	NISSAN	25%	59%
QASHQAI +2	NISSAN	25%	59%
ROGUE	NISSAN	25%	59%
ROGUE S ES	NISSAN	25%	59%
SENTRA	NISSAN	25%	30%
SENTRA B15	NISSAN	25%	30%
SENTRA B-16	NISSAN	25%	30%
SENTRA B17	NISSAN	25%	30%
SENTRAB13	NISSAN	25%	30%
SENTRAB16	NISSAN	25%	30%
SKYLINE	NISSAN	25%	59%
SUNNY	NISSAN	25%	59%
SUPER SALOON	NISSAN	25%	59%
TDBALJW	NISSAN	25%	59%
TDTALDFE12EJA	NISSAN	25%	59%
TEANA	NISSAN	25%	59%
TERRANO	NISSAN	25%	59%
TIIDA	NISSAN	25%	30%
TITAN	NISSAN	25%	59%
TRUCK SWB	NISSAN	25%	59%
TVL2LDR	NISSAN	25%	59%
TWS4LTF	NISSAN	25%	59%
T31 XTRAIL 4X4	NISSAN	25%	59%
T32 X-TRAIL EXC	NISSAN	25%	59%
T32 X-TRAIL SEN	NISSAN	25%	59%
URVAN	NISSAN	25%	59%
URVAN E26	NISSAN	25%	59%
UVL4LDR	NISSAN	25%	59%
VERSA	NISSAN	25%	45%
WAGON	NISSAN	25%	59%
W41	NISSAN	25%	59%
X - TRAIL T31	NISSAN	25%	59%
XC00928	NISSAN	25%	59%
X-TERRA	NISSAN	25%	59%
X-TRAIL	NISSAN	25%	59%
XTRAIL	NISSAN	25%	59%
X-TRAIL  T32	NISSAN	25%	59%
XTRAIL CLASSIC	NISSAN	25%	59%
.X-TRAIL T31	NISSAN	25%	59%
X-TRAIL T31	NISSAN	25%	59%
X-TRAIL T32	NISSAN	25%	59%
X-TRAIL 4X2	NISSAN	25%	59%
X-TRAILT	NISSAN	25%	59%
YUKE	NISSAN	25%	59%
300ZX	NISSAN	25%	59%
350Z	NISSAN	25%	59%
370-Z	NISSAN	25%	59%
780	NISSAN	25%	59%
CUTLASS	OLDSMOBILE	25%	59%
CUTLASS CALAIS	OLDSMOBILE	25%	59%
CUTLASS CIERA	OLDSMOBILE	25%	59%
CUTLASS SUPREME	OLDSMOBILE	25%	59%
EUROSPORT	OLDSMOBILE	25%	59%
OMEGA	OLDSMOBILE	25%	59%
CUMMINS	OTTAWA	25%	59%
WAX58354	OTTAWA	25%	59%
CAMION	PETERBILT	25%	59%
MULA	PETERBILT	25%	59%
TM	PETERBILT	25%	59%
TM2851	PETERBILT	25%	59%
TR	PETERBILT	25%	59%
210	PETERBILT	25%	59%
220	PETERBILT	25%	59%
320	PETERBILT	25%	59%
325	PETERBILT	25%	59%
330	PETERBILT	25%	59%
337	PETERBILT	25%	59%
340	PETERBILT	25%	59%
357	PETERBILT	25%	59%
365	PETERBILT	25%	59%
367	PETERBILT	25%	59%
377	PETERBILT	25%	59%
378	PETERBILT	25%	59%
379	PETERBILT	25%	59%
382	PETERBILT	25%	59%
384	PETERBILT	25%	59%
386	PETERBILT	25%	59%
388	PETERBILT	25%	59%
389	PETERBILT	25%	59%
587	PETERBILT	25%	59%
BERLINA	PEUGEOT	25%	59%
BIPPER VU	PEUGEOT	25%	59%
BOXER FT	PEUGEOT	25%	59%
PARTNER	PEUGEOT	25%	59%
PARTNER FURGON	PEUGEOT	25%	59%
TQ7	PEUGEOT	25%	59%
107	PEUGEOT	25%	59%
2008	PEUGEOT	25%	59%
205	PEUGEOT	25%	59%
206	PEUGEOT	25%	59%
207	PEUGEOT	25%	59%
208	PEUGEOT	25%	59%
3008	PEUGEOT	25%	59%
3008 ACCES	PEUGEOT	25%	59%
3008 ACTIVE	PEUGEOT	25%	59%
3008 PREMIUM	PEUGEOT	25%	59%
301	PEUGEOT	25%	59%
305	PEUGEOT	25%	59%
306	PEUGEOT	25%	59%
307	PEUGEOT	25%	59%
307CC	PEUGEOT	25%	59%
405	PEUGEOT	25%	59%
405 SRI	PEUGEOT	25%	59%
406	PEUGEOT	25%	59%
407	PEUGEOT	25%	59%
505	PEUGEOT	25%	59%
508	PEUGEOT	25%	59%
605	PEUGEOT	25%	59%
APE	PIAGGIO	25%	59%
APE501	PIAGGIO	25%	59%
TYPHOON	PIAGGIO	25%	59%
VESPA	PIAGGIO	25%	59%
VESPA PRIMAVERA	PIAGGIO	25%	59%
ACCLAEM	PLYMOUTH	25%	59%
ACCLAIM	PLYMOUTH	25%	59%
ACCLAIN	PLYMOUTH	25%	59%
D-700	PLYMOUTH	25%	59%
LASER	PLYMOUTH	25%	59%
PUP	PLYMOUTH	25%	59%
RELIANT	PLYMOUTH	25%	59%
SATELITE	PLYMOUTH	25%	59%
SUNDANCE	PLYMOUTH	25%	59%
VALIANT	PLYMOUTH	25%	59%
VOLARE	PLYMOUTH	25%	59%
VOYAGER	PLYMOUTH	25%	59%
500	PLYMOUTH	25%	59%
TANK TRAILER	POLAR	25%	59%
RANGER CREW	POLARIS	25%	59%
RANGER CREW 700	POLARIS	25%	59%
RANGER CREW 800	POLARIS	25%	59%
RANGER 400	POLARIS	25%	59%
RI4WH76AA RANGE	POLARIS	25%	59%
RZR-4	POLARIS	25%	59%
SUNFIRE	PONTIAC	25%	59%
SUNFIRT	PONTIAC	25%	59%
PD	POR DEFINIR	25%	59%
REMOLQUE	POR DEFINIR	25%	59%
BOXSTER	PORSCHE	25%	59%
BOXSTER S	PORSCHE	25%	59%
BOXSTER 2.7	PORSCHE	25%	59%
CAYENNE	PORSCHE	25%	59%
CAYENNE DIESEL	PORSCHE	25%	59%
CAYENNE S HIBRI	PORSCHE	25%	59%
CAYENNE S HYBRI	PORSCHE	25%	59%
CAYENNE TIPTRON	PORSCHE	25%	59%
CAYENNE TUR O T	PORSCHE	25%	59%
CAYENNE TURBO	PORSCHE	25%	59%
CAYENNE TURBO T	PORSCHE	25%	59%
CAYENNE V6	PORSCHE	25%	59%
CAYMAN	PORSCHE	25%	59%
CAYMAN GTS	PORSCHE	25%	59%
CAYMAN S	PORSCHE	25%	59%
GTS	PORSCHE	25%	59%
MACAN	PORSCHE	25%	59%
MACAN S	PORSCHE	25%	59%
MACAN TURBO	PORSCHE	25%	59%
PANAMERA	PORSCHE	25%	59%
PANAMERA HYBRID	PORSCHE	25%	59%
911	PORSCHE	25%	59%
911 CARRERA	PORSCHE	25%	59%
911 CARRERA GTS	PORSCHE	25%	59%
911 CARRERA S	PORSCHE	25%	59%
911 CARRERA 4S	PORSCHE	25%	59%
911 TURBO CAB	PORSCHE	25%	59%
911 TURBO S	PORSCHE	25%	59%
924	PORSCHE	25%	59%
929	PORSCHE	25%	59%
930	PORSCHE	25%	59%
944	PORSCHE	25%	59%
959	PORSCHE	25%	59%
300	PULSAR	25%	59%
QM100-5	QINGQI	25%	59%
AZTEC	REMOLQUE	25%	59%
CHASIS	REMOLQUE	25%	59%
DURANGO	REMOLQUE	25%	59%
FAB/NAL	REMOLQUE	25%	59%
REMOLQUE	REMOLQUE	25%	59%
TRAILMOBILE	REMOLQUE	25%	59%
CLIO	RENAULT	25%	59%
DUSTER	RENAULT	25%	59%
FLUENCE DYNAMIQ	RENAULT	25%	59%
KANGOO	RENAULT	25%	59%
KOLEOS	RENAULT	25%	59%
MANAGER	RENAULT	25%	59%
MEGANE	RENAULT	25%	59%
MEGANE II	RENAULT	25%	59%
MEGANE RS	RENAULT	25%	59%
SANDERO	RENAULT	25%	59%
SANDERO STEPWAY	RENAULT	25%	59%
SCENIC	RENAULT	25%	59%
STEPWAY	RENAULT	25%	59%
25	RENAULT	25%	59%
300 ACCES	RENAULT	25%	59%
33DXB1	RENAULT	25%	59%
SANG YONG	REXTON	25%	59%
C5DEA2X	SANGYONG	25%	59%
ACTYON	SANGYONG	25%	59%
KORANDO	SANGYONG	25%	59%
MUSSO	SANGYONG	25%	59%
MUSSO 602	SANGYONG	25%	59%
REXTON	SANGYONG	25%	59%
BBYULGAA30EUA	SANSUNG	25%	59%
SY150GY	SANYA	25%	59%
SY150T	SANYA	25%	59%
SKY	SATURN	25%	59%
G410	SCANIA	25%	59%
IQ	SCION	25%	59%
TC	SCION	25%	59%
  SEAT	SEAT	25%	30%
LEON	SEAT	25%	30%
NEW LEON	SEAT	25%	30%
TOLEDO	SEAT	25%	30%
NEW LEON	SET	25%	30%
SCEO	SHUANGHUAN	25%	59%
SICURA	SICURA	25%	59%
FABIA	SKODA	25%	59%
FAVIA	SKODA	25%	59%
FAVORIT	SKODA	25%	59%
FELICIA	SKODA	25%	59%
GLX75KW	SKODA	25%	59%
OCTAVIA	SKODA	25%	59%
PRAKTIK	SKODA	25%	59%
ROOMSTER	SKODA	25%	59%
SUPERB TSI LIMO	SKODA	25%	59%
YETI	SKODA	25%	59%
74KW	SKODA	25%	59%
75KW	SKODA	25%	59%
77KW	SKODA	25%	59%
PASSION	SMART	25%	59%
B-12 2012	SPEEDY	25%	59%
LX 150CC	SPEEDY	25%	59%
LX150-70C	SPEEDY	25%	59%
Q32	SPEEDY	25%	59%
SPEDDY150	SPEEDY	25%	59%
SPEEDY 250	SPEEDY	25%	59%
YS 250CC	SPEEDY	25%	59%
150CC	SPEEDY	25%	59%
LT 125C	SPIGALY	25%	59%
SP10	SPIGALY	25%	59%
ACTYON SPORT	SSANGYONG	25%	59%
ATYON	SSANGYONG	25%	59%
D5SEMPX	SSANGYONG	25%	59%
KORANDO	SSANGYONG	25%	59%
PARADISE BLUE	SSANGYONG	25%	59%
REXTON	SSANGYONG	25%	59%
RODIUS	SSANGYONG	25%	59%
4SES	STAR DELUXE	25%	59%
E-141	STAR DELUXE	25%	59%
AT9500	STERLING	25%	59%
LT7500	STERLING	25%	59%
LT8513	STERLING	25%	59%
PLATAFORMA STRG	STERLING	25%	59%
TOWN	STERLING	25%	59%
STOUGHTON	STOUGHTON	25%	59%
STRI	STRI	25%	59%
TRL	STRI	25%	59%
CHASIS	STRICK	25%	59%
TRI AXLE	STRICK	25%	59%
53FT	STRICK	25%	59%
BAJA	SUBARU	25%	59%
BRZ	SUBARU	25%	59%
FORESTER	SUBARU	25%	59%
FORESTER XT	SUBARU	25%	59%
IMPREZA	SUBARU	25%	59%
IMPREZA WRX	SUBARU	25%	59%
IMPREZA XUV	SUBARU	25%	59%
IMPREZA XV	SUBARU	25%	59%
LEGACY	SUBARU	25%	59%
OUTBACK	SUBARU	25%	59%
PREMIUM CVT	SUBARU	25%	59%
STI	SUBARU	25%	59%
TRIBECA	SUBARU	25%	59%
WRX	SUBARU	25%	59%
XV / LIMITED	SUBARU	25%	59%
XV / PREMIUM	SUBARU	25%	59%
XV/2.0I-S CVT L	SUBARU	25%	59%
FLATBED	SUPERIOR	25%	59%
  SWIFT D-ZIRE	SUZUKI	25%	30%
EN 125-2A	SUZUKI	25%	59%
SWIFT 1.3GL	SUZUKI	25%	30%
AERIO	SUZUKI	25%	30%
AK100R	SUZUKI	25%	59%
ALTO	SUZUKI	25%	30%
ALTO 800CC	SUZUKI	25%	59%
AN-125	SUZUKI	25%	59%
AN125H	SUZUKI	25%	59%
APV	SUZUKI	25%	30%
AX100	SUZUKI	25%	59%
AX115X	SUZUKI	25%	59%
BALENO	SUZUKI	25%	59%
CANY	SUZUKI	25%	59%
CARRY	SUZUKI	25%	59%
CELERIO	SUZUKI	25%	30%
CELERIO GLX	SUZUKI	25%	30%
CELERIO GLX AT	SUZUKI	25%	30%
CIAZ GL AT	SUZUKI	25%	30%
DZIRE GL	SUZUKI	25%	30%
EN125	SUZUKI	25%	59%
ERTIGA	SUZUKI	25%	59%
ERTIGA   VXI AT	SUZUKI	25%	59%
ERTIGAVXAT	SUZUKI	25%	59%
GEO TRACKER	SUZUKI	25%	59%
GN 125	SUZUKI	25%	59%
GN125	SUZUKI	25%	59%
GN125H	SUZUKI	25%	59%
GRAND VITARA	SUZUKI	25%	59%
GSX 750	SUZUKI	25%	59%
GSXR600X	SUZUKI	25%	59%
GS150	SUZUKI	25%	59%
GZ150	SUZUKI	25%	59%
IGL3035	SUZUKI	25%	59%
IGL3035.	SUZUKI	25%	59%
IGNIS	SUZUKI	25%	59%
JIMNY	SUZUKI	25%	30%
JIMNY JLXT	SUZUKI	25%	30%
JIMNY JX	SUZUKI	25%	30%
JIMNY JXLT	SUZUKI	25%	30%
KIZASHI	SUZUKI	25%	59%
MOTO	SUZUKI	25%	59%
NEW ALTO STD	SUZUKI	25%	59%
NEW SWIFT	SUZUKI	25%	59%
NPR66L	SUZUKI	25%	59%
PANEL	SUZUKI	25%	59%
SAMURAI	SUZUKI	25%	59%
S-CROSS	SUZUKI	25%	59%
SIDE KICK	SUZUKI	25%	59%
SUPER CARRY	SUZUKI	25%	59%
SWIFT	SUZUKI	25%	30%
SWIFT D ZIRE	SUZUKI	25%	30%
SWIFT DZIRE GL	SUZUKI	25%	30%
SWIFT DZIREGLA	SUZUKI	25%	30%
SWIFT HB	SUZUKI	25%	30%
SWIFT HB GL MT	SUZUKI	25%	30%
SWIFT HB GLAT	SUZUKI	25%	30%
SX	SUZUKI	25%	30%
SX4	SUZUKI	25%	30%
VITARA	SUZUKI	25%	59%
VL800K2	SUZUKI	25%	59%
WAGON	SUZUKI	25%	59%
WINGLE 5	SUZUKI	25%	59%
XL7	SUZUKI	25%	59%
124CC	SUZUKI	25%	59%
AY15WE-Y	SYM	25%	59%
REMOLQUE	TAILWIND	25%	59%
TW816TA2	TAILWIND	25%	59%
407/31	TATA	25%	59%
EXPLORER	TIGER	25%	59%
CHASIS	TITA	25%	59%
FT40	TITA	25%	59%
TITA	TITA	25%	59%
165	TITA	25%	59%
LOWBOY	TON TRI	25%	59%
TH 90	TOPLINE	25%	59%
4 RUNNER	TOYOTA	25%	59%
AVENSI	TOYOTA	25%	59%
AVENSIS	TOYOTA	25%	59%
CAMRY	TOYOTA	25%	59%
CARINA	TOYOTA	25%	59%
CELICA	TOYOTA	25%	59%
COASTER	TOYOTA	25%	59%
COROLLA	TOYOTA	50%	59%
COROLLA L E	TOYOTA	25%	59%
CORONA	TOYOTA	25%	59%
CRESSIDA	TOYOTA	25%	59%
CROWN	TOYOTA	25%	59%
CROWN ROYAL SAL	TOYOTA	25%	59%
DYNA	TOYOTA	25%	59%
DYNA 250	TOYOTA	25%	59%
FJ CRUISER	TOYOTA	25%	59%
FORTUNER	TOYOTA	25%	59%
FOUR RUNNER	TOYOTA	25%	59%
FTJ86	TOYOTA	25%	59%
FTJ86-2	TOYOTA	25%	59%
GRAN MAX	TOYOTA	25%	59%
GT86	TOYOTA	50%	59%
HILUX	TOYOTA	50%	45%
HILUX FULL	TOYOTA	25%	51%
HILUX SEMIFULL	TOYOTA	25%	45%
HIACE	TOYOTA	25%	59%
HIGHLANDER	TOYOTA	25%	59%
HIGHLANDER LIMI	TOYOTA	25%	59%
HINO	TOYOTA	25%	59%
HZB30L	TOYOTA	25%	59%
JEEP	TOYOTA	25%	59%
KLX250T9F	TOYOTA	25%	59%
KUN25L-FRMDH	TOYOTA	25%	59%
KUN25L-HRMDH	TOYOTA	25%	59%
KUN26L-HRMSY	TOYOTA	25%	59%
LAND CRUISER	TOYOTA	25%	59%
LAND CRUISER PR	TOYOTA	25%	59%
LAND ROVER	TOYOTA	25%	59%
LANDCRUISER200	TOYOTA	25%	59%
LEXUS	TOYOTA	25%	59%
LH202L-REMDE	TOYOTA	25%	59%
LH222L-LEMDE	TOYOTA	25%	59%
LITE ACE	TOYOTA	25%	59%
MATERIA	TOYOTA	25%	59%
MR2	TOYOTA	25%	59%
PASEO	TOYOTA	25%	59%
PATHFINDER	TOYOTA	25%	59%
PICK UP	TOYOTA	25%	59%
PRADO	TOYOTA	25%	59%
PRIUS	TOYOTA	25%	59%
PRIUS C	TOYOTA	25%	59%
RANGE ROVER	TOYOTA	25%	59%
RAV-4	TOYOTA	25%	59%
S402LV-BMRFJG	TOYOTA	25%	59%
SCION	TOYOTA	25%	59%
SEQUOIA	TOYOTA	25%	59%
SIENNA	TOYOTA	25%	59%
STARLET	TOYOTA	25%	59%
SUPRA	TOYOTA	25%	59%
TACOMA	TOYOTA	50%	59%
TERCEL	TOYOTA	25%	30%
TUNDRA	TOYOTA	50%	59%
URVAN	TOYOTA	25%	59%
VAN	TOYOTA	25%	59%
VENZA	TOYOTA	25%	59%
X-CAB SR5	TOYOTA	25%	59%
YARIS	TOYOTA	50%	30%
YARIS ADVANCE	TOYOTA	50%	30%
YARIS HATCHBACK	TOYOTA	50%	30%
ZELAS	TOYOTA	25%	59%
FURGON	TRAIL	25%	59%
TRAILER	TRAIL MOBILE	25%	59%
45 FT	TRAIL MOBILE	25%	59%
LOWERBOY	TRAILKING	25%	59%
SB1-1200544	TRAILMOBILE	25%	59%
TANK	TRAILMOBILE	25%	59%
TRAILMOBIL	TRAILMOBILE	25%	59%
6X12 UTILITY	TRIPLE CROWN	25%	59%
XTVW/6509	TRITON	25%	59%
LOWBOY	TRITON	25%	59%
LTWC1	TRITON	25%	59%
XTV-11	TRITON	25%	59%
TIGER	TRIUMPH	25%	59%
APACHE	TVS	25%	59%
UNICO 150	UNICO	25%	59%
CHASIS	UTIL	25%	59%
POR DEFINIR	UTIL	25%	59%
REMOLQUE	UTIL	25%	59%
10 Y	UTIL	25%	59%
COLUMBIA 120	UTILITY	25%	59%
FG1JPUB-BGX	UTILITY	25%	59%
TRAILER	UTILITY	25%	59%
TRIALER	UTILITY	25%	59%
UTILITY TRAILER	UTILITY	25%	59%
REBELLIAN	VENTO	25%	59%
GTS 300	VESPA	25%	59%
LX 150	VESPA	25%	59%
VESPA	VESPA	25%	59%
AMAROK	VOLKSWAGEN	25%	59%
AMAROK TRENDLIN	VOLKSWAGEN	25%	59%
AMAZON	VOLKSWAGEN	25%	59%
BEETLE	VOLKSWAGEN	25%	59%
BEETLE SPORT	VOLKSWAGEN	25%	59%
