MODELO	MARCAS	RECARGO	DESC. FIJO
CAMARO	CHEVROLET	25%	59%
CAMARO COUPE	CHEVROLET	25%	59%
.CAPTIVA	CHEVROLET	25%	59%
CAPTIVA	CHEVROLET	25%	59%
CAVALIER	CHEVROLET	25%	59%
CAVALIER VL	CHEVROLET	25%	59%
CHEVY	CHEVROLET	25%	30%
CHEYENNE	CHEVROLET	25%	59%
CMP	CHEVROLET	25%	59%
CMV	CHEVROLET	25%	59%
COLORADO	CHEVROLET	25%	59%
CORVETTE	CHEVROLET	25%	59%
C3500	CHEVROLET	25%	59%
ELEGANCE	CHEVROLET	25%	59%
EPICA	CHEVROLET	25%	59%
EQUINOX	CHEVROLET	25%	59%
EXPLORER	CHEVROLET	25%	59%
EXPRESS	CHEVROLET	25%	59%
GEO PRIZM	CHEVROLET	25%	59%
GMC	CHEVROLET	25%	59%
IMPALA	CHEVROLET	25%	59%
MALIBU	CHEVROLET	25%	59%
MONZA	CHEVROLET	25%	59%
N300	CHEVROLET	25%	59%
OPTRA	CHEVROLET	25%	30%
PK	CHEVROLET	25%	59%
PRISMA	CHEVROLET	25%	59%
RX450-F1	CHEVROLET	25%	59%
SILVERADO	CHEVROLET	25%	59%
SONIC	CHEVROLET	25%	30%
SONORA	CHEVROLET	25%	59%
SPARK	CHEVROLET	25%	30%
SPESTRUM	CHEVROLET	25%	59%
SUBURBAN	CHEVROLET	25%	59%
S-10	CHEVROLET	25%	59%
TAHOE	CHEVROLET	25%	59%
TOWN COUNTRY	CHEVROLET	25%	59%
TRAVERSE	CHEVROLET	25%	59%
TRAX	CHEVROLET	25%	59%
UPLANDER	CHEVROLET	25%	59%
VANS	CHEVROLET	25%	59%
VIVANT	CHEVROLET	25%	59%
VIVENS	CHEVROLET	25%	59%
CORVETTE	CHEVY	25%	59%
TAHOE	CHEVY	25%	59%
CARAVAN	CHRYSLER	25%	59%
GRAND CARAVAN	CHRYSLER	25%	59%
NEON	CHRYSLER	25%	59%
PT/CRUISER	CHRYSLER	25%	59%
RTYH53-25F	CHRYSLER	25%	59%
SAHARA	CHRYSLER	25%	59%
STRATUS	CHRYSLER	25%	59%
TOWN	CHRYSLER	25%	59%
TOWN COUNTRY	CHRYSLER	25%	59%
TOWN&COUNTRY	CHRYSLER	25%	59%
VOYAGER	CHRYSLER	25%	59%
300C	CHRYSLER	25%	59%
CITROEN	CITROEN	25%	59%
JUMPER	CITROEN	25%	59%
TRAILER	CITY	25%	59%
UTILITY	COLUMBIA 120	25%	59%
RENOLQUE	CONTINENTAL	25%	59%
CASA RODANTE	COYOTE	25%	59%
NO DEFINIDO	CS	25%	59%
TRAILER	CUST	25%	59%
CIELO	DAEWOO	25%	59%
DAMAS	DAEWOO	25%	59%
ESPERO	DAEWOO	25%	59%
KORANDO	DAEWOO	25%	59%
LANOS	DAEWOO	25%	59%
LEGANZA	DAEWOO	25%	59%
MATIZ	DAEWOO	25%	59%
NUBIRA	DAEWOO	25%	59%
RACER	DAEWOO	25%	59%
RACER ETI	DAEWOO	25%	59%
V1118LDJU2	DAIHATSU	25%	59%
APPLAUSE	DAIHATSU	25%	59%
CHARADE	DAIHATSU	25%	59%
DELTA	DAIHATSU	25%	59%
FEROZA	DAIHATSU	25%	59%
GRAN MAX	DAIHATSU	25%	59%
GRAND MAX	DAIHATSU	25%	59%
GSX 750	DAIHATSU	25%	59%
MATERIA	DAIHATSU	25%	59%
ROCKY	DAIHATSU	25%	59%
S402LV-BMRFJG	DAIHATSU	25%	59%
S85LVMRK4	DAIHATSU	25%	59%
TERIOS	DAIHATSU	25%	59%
V58LHY2	DAIHATSU	25%	59%
